Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:19,05-10-2025 15:17:20,0.243s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:20,05-10-2025 15:17:20,0.292s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:20,05-10-2025 15:17:20,0.591s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:20,05-10-2025 15:17:21,0.235s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:21,05-10-2025 15:17:21,0.287s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:21,05-10-2025 15:17:21,0.231s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:21,05-10-2025 15:17:21,0.099s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:17:21,05-10-2025 15:17:25,3.388s,PASSED
"DATA BINDING - {""id_books"":""8"",""name_book"":""BDD in Action""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:17:21,05-10-2025 15:17:21,0.000s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:17:21,05-10-2025 15:17:22,0.678s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:22,05-10-2025 15:17:22,0.413s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:22,05-10-2025 15:17:23,0.333s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:23,05-10-2025 15:17:23,0.248s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:23,05-10-2025 15:17:23,0.281s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:23,05-10-2025 15:17:24,0.577s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:24,05-10-2025 15:17:24,0.238s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:24,05-10-2025 15:17:24,0.288s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:24,05-10-2025 15:17:25,0.234s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:25,05-10-2025 15:17:25,0.092s,PASSED
