Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyTextPresent(productName, false)",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.031s,PASSED
"productName = ""sauce-labs-backpack""",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.000s,PASSED
"click(findTestObject(""Saucedemo-Shop/Button_AddToCart_ByProduct"", [""productName"":productName]))",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.030s,PASSED
"click(findTestObject(""Saucedemo-Shop/shopping_cart""))",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.048s,PASSED
"click(findTestObject(""Saucedemo-Shop/checkout_btn""))",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.046s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.010s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-fullname""), ""Felia"")",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.060s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-lastname""), ""Anjani"")",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.080s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-zipcode""), ""17812"")",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.075s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/continue-btn""), 10)",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.014s,PASSED
"click(findTestObject(""Saucedemo-Shop/continue-btn""))",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.065s,PASSED
"verifyTextPresent(""Checkout: Overview"", false)",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.019s,PASSED
"click(findTestObject(""Saucedemo-Shop/finish_btn""))",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.060s,PASSED
closeBrowser(),Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:30,10.233s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Checkout,Safari 18.6,,,05-10-2025 15:20:30,05-10-2025 15:20:42,12.402s,PASSED
"DATA BINDING - {""id_product"":""4"",""productName"":""Sauce Labs Fleece Jacket""}",,,,,,,
Start listener action : beforeTestCase,Safari 18.6,,,05-10-2025 15:20:30,05-10-2025 15:20:30,0.000s,PASSED
"openBrowser("""")",Safari 18.6,,,05-10-2025 15:20:30,05-10-2025 15:20:31,0.798s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.510s,PASSED
maximizeWindow(),Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.039s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login-credentials""), 10)",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.023s,PASSED
"setText(findTestObject(""Saucedemo-Shop/username_field""), ""standard_user"")",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.105s,PASSED
